Wrong country,فصل,%GT Total Import
هند,فصل 35,0.01%
اسپانیا,فصل 33,0.01%
آلمان,فصل 27,0.01%
فدراسیون روسیه,فصل 02,0.01%
امارات متحده عربی,فصل 92,0.01%
کانادا,فصل 27,0.01%
هند,فصل 14,0.01%
بلژیک,فصل 38,0.01%
مغولستان,فصل 02,0.01%
رومانی,فصل 85,0.01%
ایتالیا,فصل 13,0.01%
هنگ کنگ,فصل 32,0.01%
ایتالیا,فصل 40,0.00%
اندونزی,فصل 08,0.00%
مناطق آزاد,فصل 22,0.00%
آلمان,فصل 35,0.00%
مناطق آزاد,فصل 30,0.00%
ویتنام,فصل 40,0.00%
ایرلند,فصل 29,0.00%
آلمان,فصل 75,0.00%
امارات متحده عربی,فصل 14,0.00%
اتریش,فصل 32,0.00%
بلژیک,فصل 23,0.00%
اسلواکی,فصل 29,0.00%
ارمنستان,فصل 56,0.00%
جمهوری چک,فصل 38,0.00%
مناطق آزاد,فصل 90,0.00%
اسلواکی,فصل 28,0.00%
لهستان,فصل 24,0.00%
اسپانیا,فصل 35,0.00%
انگلستان (بریتانیا),فصل 40,0.00%
انگلستان (بریتانیا),فصل 86,0.00%
تایلند,فصل 98,0.00%
نروژ,فصل 03,0.00%
امارات متحده عربی,فصل 51,0.00%
قزاقستان,فصل 02,0.00%
رواندا,فصل 44,0.00%
ترکیه,فصل 74,0.00%
ترکیه,فصل 13,0.00%
هلند,فصل 37,0.00%
افغانستان,فصل 29,0.00%
مناطق ویژه,فصل 24,0.00%
فدراسیون روسیه,فصل 38,0.00%
کره (جنوبی),فصل 23,0.00%
دانمارک,فصل 38,0.00%
تایوان,فصل 40,0.00%
آلمان,فصل 37,0.00%
اسپانیا,فصل 32,0.00%
آلمان,فصل 54,0.00%
هند,فصل 40,0.00%
تایلند,فصل 39,0.00%
اتریش,فصل 72,0.00%
فدراسیون روسیه,فصل 31,0.00%
تایلند,فصل 07,0.00%
آلمان,فصل 01,0.00%
پرتغال,فصل 39,0.00%
اسلواکی,فصل 84,0.00%
کانادا,فصل 84,0.00%
اکوادور,فصل 08,0.00%
ترکیه,فصل 60,0.00%
فرانسه,فصل 05,0.00%
تاجیکستان,فصل 07,0.00%
اسپانیا,فصل 21,0.00%
چین,فصل 21,0.00%
هنگ کنگ,فصل 27,0.00%
هنگ کنگ,فصل 76,0.00%
موریس,فصل 90,0.00%
عراق,فصل 70,0.00%
بلژیک,فصل 35,0.00%
فرانسه,فصل 84,0.00%
رومانی,فصل 84,0.00%
عراق,فصل 08,0.00%
هند,فصل 55,0.00%
تایلند,فصل 84,0.00%
سویس,فصل 34,0.00%
کره (جنوبی),فصل 74,0.00%
سویس,فصل 44,0.00%
ایتالیا,فصل 72,0.00%
سنگاپور,فصل 39,0.00%
امارات متحده عربی,فصل 58,0.00%
تایلند,فصل 69,0.00%
اتریش,فصل 15,0.00%
کنیا,فصل 08,0.00%
لوکزامبورگ,فصل 33,0.00%
