Wrong country,فصل,%GT Total Export
عمان,فصل 49,0.00%
بلغارستان,فصل 76,0.00%
افغانستان,فصل 16,0.00%
رومانی,فصل 08,0.00%
افغانستان,فصل 95,0.00%
قزاقستان,فصل 70,0.00%
ازبکستان,فصل 83,0.00%
بلغارستان,فصل 19,0.00%
انگلستان (بریتانیا),فصل 20,0.00%
هند,فصل 79,0.00%
بحرین,فصل 57,0.00%
عراق,فصل 82,0.00%
آلمان,فصل 21,0.00%
ازبکستان,فصل 26,0.00%
ایتالیا,فصل 68,0.00%
رومانی,فصل 38,0.00%
امارات متحده عربی,فصل 17,0.00%
سوریه,فصل 21,0.00%
کانادا,فصل 39,0.00%
ترکمنستان,فصل 55,0.00%
گرجستان,فصل 95,0.00%
جمهوری آذربایجان,فصل 59,0.00%
افغانستان,فصل 94,0.00%
تایلند,فصل 79,0.00%
ازبکستان,فصل 79,0.00%
ترکمنستان,فصل 95,0.00%
جمهوری آذربایجان,فصل 27,0.00%
سوئد,فصل 57,0.00%
شیلی,فصل 08,0.00%
جمهوری آذربایجان,فصل 15,0.00%
ازبکستان,فصل 44,0.00%
اردن,فصل 17,0.00%
لهستان,فصل 27,0.00%
افغانستان,فصل 01,0.00%
قطر,فصل 39,0.00%
بلاروس,فصل 28,0.00%
عمان,فصل 21,0.00%
پاکستان,فصل 96,0.00%
گرجستان,فصل 55,0.00%
ایتالیا,فصل 09,0.00%
عراق,فصل 14,0.00%
قزاقستان,فصل 21,0.00%
قرقیزستان,فصل 02,0.00%
صربستان و مونته نگرو,فصل 28,0.00%
سوریه,فصل 70,0.00%
ترکمنستان,فصل 48,0.00%
اردن,فصل 57,0.00%
لتونی,فصل 08,0.00%
گرجستان,فصل 76,0.00%
ارمنستان,فصل 54,0.00%
ترکیه,فصل 19,0.00%
ترکمنستان,فصل 96,0.00%
عمان,فصل 69,0.00%
ترکمنستان,فصل 02,0.00%
بحرین,فصل 09,0.00%
کانادا,فصل 20,0.00%
کرواسی (Hrvatska),فصل 27,0.00%
سودان,فصل 27,0.00%
ترکیه,فصل 35,0.00%
کویت,فصل 04,0.00%
سری لانکا,فصل 39,0.00%
امارات متحده عربی,فصل 12,0.00%
فدراسیون روسیه,فصل 35,0.00%
تاجیکستان,فصل 17,0.00%
قطر,فصل 73,0.00%
پاکستان,فصل 07,0.00%
گرجستان,فصل 20,0.00%
امارات متحده عربی,فصل 64,0.00%
بلغارستان,فصل 20,0.00%
پاکستان,فصل 64,0.00%
ترکیه,فصل 41,0.00%
پاکستان,فصل 87,0.00%
عمان,فصل 83,0.00%
قطر,فصل 19,0.00%
آلمان,فصل 22,0.00%
امارات متحده عربی,فصل 31,0.00%
قطر,فصل 20,0.00%
رومانی,فصل 68,0.00%
ارمنستان,فصل 44,0.00%
ارمنستان,فصل 63,0.00%
عمان,فصل 30,0.00%
قزاقستان,فصل 38,0.00%
عراق,فصل 24,0.00%
لبنان,فصل 21,0.00%
